uuid,latitude,longitude,polygon_index,centroid_lat,centroid_lng,is_true_centroid
69387a76-b6f6-4a76-9d82-59367e14cb12,45.55222786237915,18.53839695354916,415.0,18.59638700000005,45.57666000000004,True
83fd0354-8781-4325-9139-653ba0ce718f,45.11632629078026,14.82181715265881,210.0,14.876387000000076,45.096660000000064,True
5e2f692d-a2e6-45b1-b18b-3cec90b31b64,45.42498633931014,18.76785331863612,380.0,18.71638700000005,45.45666000000004,True
b3447ea2-8ea2-4c4e-b2a8-8611c8253995,46.15450138396207,17.0570928956176,532.0,17.036387000000058,46.17666000000003,True
93c8620f-2e97-4fe1-999a-c4c423b3d878,43.65148208448196,16.32389407347047,64.0,16.316387000000066,43.65666000000008,True
d2b3e614-71e0-4910-82dd-f19a767f3307,45.29523222005575,15.25182092057545,303.0,15.236387000000073,45.336660000000045,True
275ca9fb-9d73-4324-b238-88d9f68fdeaf,45.30989747209561,16.99975759416772,318.0,17.036387000000058,45.33666000000005,True
c844632c-2053-4a1c-816d-61dd2f1d0ffc,45.20693758219236,19.15135492798874,286.0,19.19638700000005,45.21666000000005,True
1a1d31ee-29a1-402b-9a84-eaf0500e6942,44.83549095504157,15.23641089044135,174.0,15.236387000000073,44.85666000000006,True
2f9003b4-fb10-4c7a-a05d-e107b906ee69,44.26924442484817,15.93824381396705,123.0,15.956387000000067,44.25666000000007,True
102ae7f4-33d0-46ea-827e-0df7e12e1393,42.64626656416792,18.10159755151343,8.0,18.116387000000056,42.69666000000011,True
041b83f0-5286-4432-806e-4d64a7066bbc,45.4821586934661,18.14766501740445,375.0,18.116387000000056,45.45666000000004,True
62c80ed4-2d4a-4357-907f-4d61c1936ec0,45.95691919999999,16.1174669,488.0,16.076387000000064,45.93666000000004,True
b5d44460-9969-4639-88f3-beae2a43a74a,45.7467711,18.2883074,447.0,18.236387000000057,45.69666000000003,True
63912081-f7c8-49c1-818a-dc12c844cf67,44.54230304831046,15.06757744288909,136.0,15.116805956755213,44.497078975376326,False
b814b188-bf15-4ab1-b5ca-1d5b7a3bbc83,45.46392401853216,16.49618753493564,361.0,16.436387000000067,45.45666000000004,True
b3ff9bb4-91c9-4cbe-b5fd-13f10e0bcb36,45.72256443832539,15.92413356272906,428.0,15.956387000000067,45.69666000000003,True
