polygon_index,centroid_lat,centroid_lng,is_true_centroid
0,42.9818813455037,17.105747586294587,False
1,42.79499800000002,17.735275,False
2,42.62760801779829,18.356520431547757,False
3,43.55597575783715,15.927478688217365,False
4,43.50305200000008,16.499165000000005,False
5,43.37166000000011,17.071387000000083,True
6,43.10956044590106,17.576190669891936,False
7,44.12783769059191,15.223174176193577,False
8,44.02166000000011,15.771387000000088,True
9,44.02166000000012,16.421387000000085,True
10,43.73139782059355,16.82289503157127,False
11,44.77443699999998,13.89916599999998,False
12,44.719993999999986,14.886943999999971,False
13,44.6716600000001,15.121387000000086,True
14,44.6716600000001,15.771387000000088,True
15,45.00090000000006,16.342712000000063,False
16,44.857181178234235,19.001236239021914,False
17,45.32166000000011,13.821387000000081,True
18,45.32166000000011,14.471387000000083,True
19,45.32166000000011,15.121387000000086,True
20,45.32166000000011,15.771387000000088,True
21,45.32166000000011,16.421387000000085,True
22,45.32166000000011,17.071387000000083,True
23,45.32166000000011,17.721387000000085,True
24,45.32166000000011,18.371387000000087,True
25,45.32166000000011,19.02138700000009,True
26,45.22582999999997,19.42388500000004,False
27,45.669441000000006,14.57694400000014,False
28,45.751937999999996,15.309166000000062,False
29,45.9716600000001,15.771387000000088,True
30,45.9716600000001,16.421387000000085,True
31,45.9716600000001,17.071387000000083,True
32,45.89305100000013,17.640273999999977,False
33,45.752722417865094,18.353555131793314,False
34,45.8119430000001,18.924442000000056,False
35,46.25724471087175,15.878863463192658,False
36,46.53201606520292,16.40494057373665,False
37,46.35582700000009,16.866108000000054,False
