polygon_index,centroid_lat,centroid_lng,is_true_centroid
0,42.979922079321916,17.120585600921398,False
1,42.79666000000011,17.896387000000086,True
2,42.56582599999996,18.455555000000004,False
3,43.806281928596505,15.65197818866646,False
4,43.596660000000114,16.296387000000088,True
5,43.52968298778991,17.06446257272201,False
6,44.77055400000006,13.912221999999986,False
7,44.616313554280225,14.95877308495161,False
8,44.3966600000001,15.496387000000086,True
9,44.353607000000125,16.19805500000001,False
10,45.1966600000001,13.896387000000082,True
11,45.1966600000001,14.696387000000085,True
12,45.1966600000001,15.496387000000086,True
13,45.1966600000001,16.296387000000088,True
14,45.1966600000001,17.09638700000009,True
15,45.1966600000001,17.896387000000086,True
16,45.1966600000001,18.696387000000087,True
17,45.20233172239215,19.42549557363352,False
18,45.67443800000012,14.606667000000073,False
19,45.83788135706815,15.516022669557431,False
20,45.996660000000105,16.296387000000088,True
21,45.996660000000105,17.09638700000009,True
22,45.79208304506208,17.846917955733673,False
23,45.913605000000075,18.715553000000114,False
24,46.532432857814435,16.31521345243512,False
25,46.361816559688535,16.85530455577084,False
