Unnamed: 0.1,Unnamed: 0,sample_longitude,sample_latitude,row_idx,status,radius,latitude,longitude,panorama_id,uuid,polygon_index,centroid_lng,centroid_lat,is_true_centroid
0.0,0.0,16.725157101650694,45.80887959964089,0.0,OK,,45.8102583442322,16.72203900718308,rC0RohGwjXkQX3u7rOi2XQ,a9615845-f0c3-4a46-a5fe-35e7ca32f6f0,41.0,16.746387000000084,45.64666000000011,True
1.0,1.0,15.87582307662098,44.38751679151152,1.0,OK,,44.38660988435789,15.88616327245129,Akbp_5oGmjsSkVFosLfhSQ,c3062ee3-f172-4c8d-9c52-11fc274f2a6a,12.0,15.746387000000084,44.14666000000011,True
3.0,3.0,18.27228088700853,45.388669538887015,3.0,OK,,45.38031295644289,18.27205370614476,VH8E2asCMlJ6ckrm9Fy_CA,6c82516f-7b5d-43fc-93b7-c626ca696f04,32.0,18.246387000000084,45.14666000000011,True
4.0,4.0,16.388529576490413,45.70260924226959,4.0,OK,,45.70269491488048,16.38900316873983,tz-G5knE3pn0qoZ8rbFc9w,a224e522-b19c-4a65-b336-7d05aedcd31e,40.0,16.246387000000084,45.64666000000011,True
5.0,5.0,15.56111769588921,45.43908292782911,5.0,OK,,45.43543795543364,15.55514436024076,wkak3Ailawvlm24hbLuxCA,89f5ca18-2d99-4a31-92e8-7b272def39ce,39.0,15.746387000000084,45.64666000000011,True
7.0,7.0,16.98000578093807,43.41627052384483,7.0,OK,,43.41798752108328,16.98839460652327,OkvsP5JIdyoZDI_hyZ6DxQ,c53361d7-3a07-41ed-9093-4522ddacd20d,9.0,16.746387000000084,43.64666000000011,True
8.0,8.0,15.893350822852216,45.989084412631726,8.0,OK,,45.98778570824853,15.89214736121732,hsu46xdFa8Zn3gTDLDL97Q,df02a6d9-f9a6-46df-b4af-489fbc7a2de1,47.0,15.746387000000084,46.14666000000011,True
9.0,9.0,15.483285330941484,45.49197237618309,9.0,OK,,45.4889465481146,15.47778542763981,FcIopFrlJQ7tbBSnuXcflw,35a66ea8-9f92-42c5-a2d7-adfcc9bc92ee,38.0,15.286087555350933,45.692322071944496,False
10.0,10.0,17.151629206377443,43.41338844407815,10.0,OK,,43.41593198970334,17.15306812241148,qfhCRTsNZGL--G4m7FnF5A,88555d67-72a0-4498-aa01-737ba7c69dc2,10.0,17.196295646190304,43.486505836840834,False
11.0,11.0,15.315739779517848,44.05544579518454,11.0,OK,,44.05411608963968,15.31478727188631,P9TpPyND87BepSRdA-wirw,8df99dd4-a72f-4127-8e1b-5113fd902eca,11.0,15.246387000000084,44.14666000000011,True
12.0,12.0,15.879354278253896,45.68842799055453,12.0,OK,,45.68743108417489,15.88244589206532,MiwhJ_R17H4oYsaszMgFzA,4550f806-b822-4551-9ad8-8579788cd980,39.0,15.746387000000084,45.64666000000011,True
